dpi_true_id,school_name,accurate_agency_type,school_board_district
3619_0162,ALBA - Academia de Lenguaje y Bellas Artes,Instrumentality Charter,6
3619_0316,Academy of Accelerated Learning,Traditional Public,7
3619_0075,Alcott Elementary,Traditional Public,7
3619_0073,Allen-Field Elementary,Traditional Public,6
3619_0413,Alliance School of Milwaukee,Instrumentality Charter,5
3619_0215,Andrew S Douglas Middle,Traditional Public,4
3619_0434,Audubon Technology and Communication High,Traditional Public,7
3619_0041,Audubon Technology and Communication Middle,Traditional Public,7
3619_0077,Auer Avenue Elementary,Traditional Public,4
3619_0188,Barbee Elementary,Traditional Public,3
3619_0081,Barton Elementary,Traditional Public,1
3619_0012,Bay View High,Traditional Public,8
3619_0112,Bay View Montessori School,Traditional Public,8
3619_0356,Bethune Academy,Traditional Public,4
3619_0014,Bradley Technology High,Traditional Public,6
3619_0089,Brown Street Academy,Traditional Public,4
3619_0092,Browning Elementary,Traditional Public,2
3619_0093,Bruce Elementary,Traditional Public,1
3619_0094,Bryant Elementary,Traditional Public,1
3619_0095,Burbank Elementary,Traditional Public,7
3619_0098,Burdick Elementary,Traditional Public,8
3619_0108,Carson Academy,Traditional Public,3
3619_0178,Carver Academy,Traditional Public,5
3619_0104,Cass Street Elementary,Traditional Public,5
3619_0110,Clarke Street Elementary,Traditional Public,4
3619_0114,Clemens Elementary,Traditional Public,3
3619_0113,Clement Avenue Elementary,Traditional Public,8
3619_0116,Congress Elementary,Traditional Public,3
3619_0117,Cooper Elementary,Traditional Public,8
3619_0501,Craig Montessori School,Traditional Public,2
3619_0122,Curtin Elementary,Traditional Public,7
3619_0125,Doerfler Elementary,Traditional Public,6
3619_0143,Eighty-First Street Elementary,Traditional Public,2
3619_0148,Elm Creative Arts Elementary,Traditional Public,5
3619_0150,Emerson Elementary,Traditional Public,2
3619_0152,Engleburg Elementary,Traditional Public,2
3619_0155,Fairview Elementary,Traditional Public,7
3619_0158,Fernwood Montessori,Traditional Public,8
3619_0170,Fifty-Third Street Elementary,Traditional Public,3
3619_0173,Forest Home Elementary,Traditional Public,6
3619_0179,Franklin Elementary,Traditional Public,3
3619_0182,Fratney Elementary,Traditional Public,5
3619_0185,Gaenslen Elementary,Traditional Public,5
3619_0191,Garland Elementary,Traditional Public,8
3619_0176,Golda Meir School,Traditional Public,5
3619_0192,Goodrich Elementary,Traditional Public,1
3619_0193,Grant Elementary,Traditional Public,6
3619_0115,Grant Gordon Learning Center,Traditional Public,4
3619_0196,Grantosa Drive Elementary,Traditional Public,2
3619_0454,Green Tree Preparatory Academy,Instrumentality Charter,1
3619_0202,Greenfield Bilingual,Traditional Public,7
3619_0236,Groppi High,Traditional Public,4
3619_0018,Hamilton High,Traditional Public,7
3619_0205,Hampton Elementary,Traditional Public,2
3619_0033,Harold S Vincent School of Agricultural Science,Traditional Public,1
3619_0208,Hartford Avenue Elementary,Traditional Public,5
3619_0211,Hawley Environmental School,Traditional Public,4
3619_0212,Hawthorne Elementary,Traditional Public,1
3619_0214,Hayes Bilingual School,Traditional Public,6
3619_0217,Hi-Mount Elementary,Traditional Public,2
3619_0218,Holmes Elementary,Traditional Public,5
3619_0334,Honey Creek Elementary,Instrumentality Charter,7
3619_0253,Hopkins Lloyd Community School,Traditional Public,4
3619_0223,Humboldt Park Elementary,Traditional Public,8
3619_0165,IDEAL Individualized Developmental Educational Approaches to Learning,Instrumentality Charter,8
3619_0377,Jackson Elementary,Traditional Public,4
3619_0409,James Madison Academic Campus,Traditional Public,1
3619_0232,Kagel Elementary,Traditional Public,6
3619_0235,Keefe Avenue Elementary,Traditional Public,4
3619_0237,Kilbourn Elementary,Traditional Public,2
3619_0020,King International,Traditional Public,3
3619_0210,King International Baccalaureate Middle,Traditional Public,5
3619_0199,King Jr Elementary,Traditional Public,5
3619_0337,Kluge Elementary,Traditional Public,1
3619_0238,LaFollette Elementary,Traditional Public,3
3619_0241,Lancaster Elementary,Traditional Public,2
3619_0250,Lincoln Avenue Elementary,Traditional Public,6
3619_0006,Lincoln Middle,Traditional Public,5
3619_0256,Longfellow Elementary,Traditional Public,6
3619_0257,Lowell International Elementary,Traditional Public,8
3619_0870,MacDowell Montessori School K3-12,Traditional Public,7
3619_0265,Manitoba Elementary,Traditional Public,7
3619_0267,Maple Tree Elementary,Traditional Public,1
3619_0008,Marshall High,Traditional Public,2
3619_0268,Maryland Montessori,Traditional Public,5
3619_0525,Metcalfe Elementary,Traditional Public,4
3619_0103,Milwaukee Academy of Chinese Language,Traditional Public,4
3619_0315,Milwaukee County Youth Education Center,Traditional Public,4
3619_0140,Milwaukee French Immersion,Traditional Public,2
3619_0146,Milwaukee German Immersion,Traditional Public,2
3619_0038,Milwaukee High School of the Arts,Traditional Public,4
3619_0362,Milwaukee Parkside School,Traditional Public,8
3619_0071,Milwaukee School of Languages,Traditional Public,2
3619_0226,Milwaukee Sign Language Elementary,Traditional Public,1
3619_0167,Milwaukee Spanish Immersion,Traditional Public,7
3619_0274,Mitchell Elementary,Traditional Public,6
3619_0277,Morgandale Elementary,Traditional Public,8
3619_0052,Morse Mid,Traditional Public,1
3619_0283,Neeskara Elementary,Traditional Public,2
3619_0289,Ninety-Fifth Street Elementary,Traditional Public,2
3619_0419,North Division High,Traditional Public,4
3619_0840,Obama School of Career and Technical Education,Traditional Public,3
3619_0301,Parkview Elementary,Traditional Public,1
3619_0325,Pratt Elementary,Traditional Public,3
3619_0458,Project STAY-Supporting Teachers and Youth,Traditional Public,4
3619_0026,Pulaski High,Traditional Public,7
3619_0435,Reagan College Preparatory High,Traditional Public,8
3619_0313,Riley Dual Language Montessori School,Traditional Public,6
3619_0194,River Trail School of Agricultural Science,Traditional Public,1
3619_0029,Riverside High,Traditional Public,5
3619_0307,Riverwest Elementary,Traditional Public,5
3619_0177,Rogers Street Academy,Traditional Public,6
3619_0059,Roosevelt Middle,Traditional Public,5
3619_0319,Sherman Elementary,Traditional Public,3
3619_0107,Siefert Elementary,Traditional Public,4
3619_0442,South Accelerated Academy,Traditional Public,6
3619_0032,South Division High,Traditional Public,6
3619_0312,Starms Discovery,Traditional Public,4
3619_0149,Starms Early Childhood,Traditional Public,4
3619_0343,Story Elementary,Traditional Public,4
3619_0344,Stuart Elementary,Traditional Public,1
3619_0360,Thoreau Elementary,Traditional Public,1
3619_0154,Thurston Woods Elementary,Traditional Public,1
3619_0365,Townsend Street Elementary,Traditional Public,3
3619_0433,Transition High,Traditional Public,4
3619_0368,Trowbridge Street School of Great Lakes Studies,Traditional Public,8
3619_0387,Victory Elementary,Traditional Public,8
3619_0390,Vieau Elementary,Traditional Public,6
3619_0448,Vincent Accelerated Academy,Traditional Public,1
3619_0424,WHS Information Technology,Traditional Public,4
3619_0204,Wedgewood Park School,Traditional Public,7
3619_0130,Westside Academy,Traditional Public,4
3619_0397,Whitman Elementary,Traditional Public,7
3619_0398,Whittier Elementary,Instrumentality Charter,8
3619_0399,Wisconsin Conservatory of Lifelong Learning,Traditional Public,4
3619_0295,Zablocki Elementary,Traditional Public,8
